Mar 27 11:47:31  DbcCleanup called, will cleanup now
Apr 02 23:15:11  DbcCleanup called, will cleanup now
Apr 03 00:36:07  DbcCleanup called, will cleanup now
Apr 19 22:45:39  DbcCleanup called, will cleanup now
Apr 20 00:18:22  DbcCleanup called, will cleanup now
Apr 20 00:19:13  DbcCleanup called, will cleanup now
Apr 20 00:31:11  DbcCleanup called, will cleanup now
Apr 20 01:02:33  DbcCleanup called, will cleanup now
Apr 20 01:07:11  DbcCleanup called, will cleanup now
Apr 23 15:10:07  DbcCleanup called, will cleanup now
May 02 17:49:26  DbcCleanup called, will cleanup now
May 05 00:46:05  DbcCleanup called, will cleanup now
May 18 21:43:28  DbcCleanup called, will cleanup now
May 20 23:05:18  DbcCleanup called, will cleanup now
May 23 19:18:05  DbcCleanup called, will cleanup now
Jun 01 21:53:18  DbcCleanup called, will cleanup now
Jun 04 03:38:07  DbcCleanup called, will cleanup now
Jun 06 23:21:35  DbcCleanup called, will cleanup now
Jun 08 22:47:28  DbcCleanup called, will cleanup now
Jun 09 18:08:01  DbcCleanup called, will cleanup now
Jun 10 18:20:03  DbcCleanup called, will cleanup now
Jun 11 18:25:37  DbcCleanup called, will cleanup now
Jun 12 17:28:23  DbcCleanup called, will cleanup now
Jun 26 15:08:43  DbcCleanup called, will cleanup now
Jul 13 23:14:44  DbcCleanup called, will cleanup now
Jul 19 23:26:40  DbcCleanup called, will cleanup now
Jul 20 23:42:21  DbcCleanup called, will cleanup now
Aug 03 22:09:27  DbcCleanup called, will cleanup now
Aug 14 19:16:53  DbcCleanup called, will cleanup now
Aug 17 21:25:06  DbcCleanup called, will cleanup now
Aug 20 01:02:51  DbcCleanup called, will cleanup now
Aug 20 13:23:21  DbcCleanup called, will cleanup now
Aug 21 00:03:25  DbcCleanup called, will cleanup now
Sep 04 21:34:06  DbcCleanup called, will cleanup now
Sep 07 22:33:39  DbcCleanup called, will cleanup now
Sep 08 23:54:12  DbcCleanup called, will cleanup now
Sep 09 22:59:27  DbcCleanup called, will cleanup now
Sep 10 16:24:08  DbcCleanup called, will cleanup now
Sep 11 01:06:14  DbcCleanup called, will cleanup now
Sep 13 00:29:16  DbcCleanup called, will cleanup now
Sep 13 21:48:48  DbcCleanup called, will cleanup now
Sep 15 01:30:07  DbcCleanup called, will cleanup now
Sep 18 01:21:33  DbcCleanup called, will cleanup now
